#{"t_start": 1702278341.546579, "env_id": "ContactProcess"}
r,l,t
-23997.267966,15,67.302094
-77868.945786,50,67.345051
-229126.584298,144,67.463776
-139956.227469,92,67.597813
-86261.790399,53,67.643934
-105258.264535,68,67.706012
-23495.545782,15,67.724274
-125672.566007,80,67.847084
-32692.574027,21,67.868925
-54781.506256,33,67.901682
-155457.580931,99,67.994611
-43784.079374,29,68.025587
-85474.661716,53,68.079561
-252515.241799,159,68.278857
-25891.067587,17,68.298662
-33488.918508,21,68.31948
-62671.62504,42,68.358376
-41781.22498,27,68.386756
-54980.555083,35,68.472625
-66675.76935,43,68.51123
-97370.567869,63,68.570262
-71783.98204,46,68.614299
-88967.045885,56,68.670885
-133257.529183,83,68.804637
-68981.067032,43,68.84496
-44989.746766,28,68.873207
-40798.326767,26,68.896717
-107163.311614,68,68.957849
-230114.495867,147,69.133774
-24693.094599,15,69.148397
-46387.588485,28,69.176673
-44093.779424,28,69.209344
-32993.903042,21,69.230692
-98464.299337,63,69.354676
-81174.944085,54,69.405926
-98170.97627,62,69.459795
-239732.612917,155,69.641812
-87974.572969,59,69.694136
-42576.159016,28,69.72319
-135641.916655,88,69.806293
-63670.971181,44,69.930806
-160239.654536,104,70.027882
-72573.882708,46,70.06804
-112849.909077,75,70.137933
-21995.194133,15,70.155762
-138357.306297,89,70.295633
-220338.345768,142,70.429406
-112974.377661,73,70.548914
-101774.516087,64,70.608456
-117955.452585,78,70.680799
-82581.493523,53,70.729043
-74679.629664,46,70.838125
-99671.314314,64,70.901296
-58982.692041,37,70.941128
-123856.748935,78,71.010898
-22093.411978,13,71.024407
-19891.756949,13,71.036552
-34589.16829,22,71.058499
-172842.353826,111,71.205293
-61074.611921,39,71.240165
-66570.21129,43,71.282147
-78157.391035,50,71.331253
-104773.423238,66,71.457903
-20197.296866,13,71.475192
-56077.98296,36,71.513721
-39492.090795,24,71.538704
-22091.629373,16,71.558518
-32796.307969,21,71.582469
-118856.107054,75,71.647544
-84379.435858,50,71.749934
-22294.498759,13,71.763546
-155467.096923,98,71.848793
-99472.308663,65,71.907499
-48891.763073,28,71.934659
-23287.214287,16,71.952828
-178338.782854,117,72.108301
-230139.059007,145,72.228984
-94369.288842,62,72.352856
-28493.18125,18,72.376811
-59682.670837,37,72.413678
-89479.303973,58,72.469959
-103566.783934,69,72.532647
-15298.303779,9,72.542574
-17497.983243,11,72.616313
-201934.496101,132,72.737438
-228429.705814,145,72.928201
-32985.013446,22,72.955448
-112476.362117,71,73.020297
-123763.364908,82,73.099386
-51086.299524,34,73.134618
-121152.674672,77,73.267201
-77579.708882,50,73.31515
-54685.554764,37,73.349642
-82670.762868,56,73.405656
-129264.396945,80,73.566726
-21996.515309,14,73.582311
-186133.225449,121,73.698647
-56085.287684,36,73.736071
-78482.71028,52,73.787709
-66578.016004,43,73.885638
-79273.313015,50,73.93324
-22095.366137,13,73.945836
-113961.639587,75,74.01791
-19398.780528,11,74.031507
-60483.210449,38,74.068753
-34494.117379,21,74.092033
-47888.148818,31,74.180296
-330686.532065,210,74.38107
-217038.463693,134,74.562202
-35985.223314,24,74.590654
-34082.681654,22,74.614184
-14391.539958,10,74.626716
-199151.579398,125,74.798169
-144958.959494,92,74.89405
-81279.052254,52,74.946503
-43488.238273,26,74.973994
-60676.851416,40,75.012255
-32592.771977,21,75.03616
-46887.604323,30,75.125268
-41991.791227,27,75.154833
-58286.977247,35,75.1879
-189240.721869,116,75.289582
-178356.088643,111,75.459298
-143563.383931,93,75.546707
-80772.038923,51,75.599099
-49985.526506,32,75.628261
-34792.225887,23,75.705268
-125770.572994,78,75.77375
-73481.969889,47,75.816604
-392879.084327,254,76.103527
-291109.109099,187,76.319639
-30591.961973,20,76.340774
